No,Direction,Time_Scale,Frame_Type,Frame_Format,Frame_ID,Data_Length,ByteA,ByteB,ByteC,ByteD,ByteE,ByteF,ByteG,ByteH,,
,,,,,,,,,,,,,,,,
0,Receive,19:04:14:681,Data frame,Standard frame,450,8,49,aa,c8,02,02,51,00,00,,
1,Receive,19:04:14:684,Data frame,Standard frame,430,8,84,32,15,35,33,33,ff,0f,,
2,Receive,19:04:14:687,Data frame,Standard frame,440,8,82,13,4c,15,00,00,00,00,,
3,Receive,19:04:14:691,Data frame,Standard frame,450,8,48,07,bd,04,ff,0f,ff,0f,,
4,Receive,19:04:14:694,Data frame,Standard frame,460,8,8c,0b,a8,00,d1,01,2f,01,,
5,Receive,19:04:14:697,Data frame,Standard frame,461,8,00,32,ff,3f,33,33,28,00,,
6,Receive,19:04:14:700,Data frame,Standard frame,462,8,81,87,81,87,3a,00,00,00,,
7,Receive,19:04:14:703,Data frame,Standard frame,463,8,e8,03,e8,03,03,00,00,00,,
8,Receive,19:04:14:705,Data frame,Standard frame,464,8,4b,ff,ff,ff,ff,74,19,19,,
9,Receive,19:04:14:708,Data frame,Standard frame,465,8,b9,ff,00,ff,ff,4e,4e,ff,,
10,Receive,19:04:14:710,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00,,
11,Receive,19:04:14:713,Data frame,Standard frame,467,8,00,00,00,00,00,00,00,00,,
12,Receive,19:04:14:717,Data frame,Standard frame,469,8,00,00,00,00,29,a4,00,00,,
13,Receive,19:04:14:720,Data frame,Standard frame,201,8,00,00,00,00,00,00,8c,0b,,
14,Receive,19:04:14:729,Data frame,Standard frame,201,8,00,00,00,00,00,00,8b,0b,,
15,Receive,19:04:14:733,Data frame,Standard frame,251,8,7d,0a,00,00,00,00,00,00,,
16,Receive,19:04:14:737,Data frame,Standard frame,430,8,7e,32,0d,35,33,33,ff,0f,,
17,Receive,19:04:14:740,Data frame,Standard frame,440,8,82,13,4e,15,00,00,00,00,,
18,Receive,19:04:14:744,Data frame,Standard frame,450,8,47,07,bd,04,ff,0f,fa,0f,,
19,Receive,19:04:14:748,Data frame,Standard frame,460,8,8b,0b,a8,00,d1,01,2f,01,,
20,Receive,19:04:14:753,Data frame,Standard frame,461,8,00,32,ff,3f,33,33,28,00,,
21,Receive,19:04:14:758,Data frame,Standard frame,462,8,81,87,81,87,3a,00,00,00,,
22,Receive,19:04:14:764,Data frame,Standard frame,463,8,e8,03,e8,03,03,00,00,00,,
23,Receive,19:04:14:770,Data frame,Standard frame,464,8,4b,ff,ff,ff,ff,74,19,19,,
24,Receive,19:04:14:774,Data frame,Standard frame,465,8,b9,ff,00,ff,ff,4e,4e,ff,,
25,Receive,19:04:14:778,Data frame,Standard frame,201,8,00,00,00,00,00,00,8b,0b,,
26,Receive,19:04:14:784,Data frame,Standard frame,451,8,69,ff,ff,3f,5f,7a,00,f0,,
27,Receive,19:04:14:791,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00,,
28,Receive,19:04:14:798,Data frame,Standard frame,467,8,00,00,00,00,00,00,00,00,,
29,Receive,19:04:14:805,Data frame,Standard frame,468,8,00,00,00,00,00,42,d9,3e,,
30,Receive,19:04:14:812,Data frame,Standard frame,469,8,00,00,00,00,29,a4,00,00,,
