No,Direction,Time_Scale,Frame_Type,Frame_Format,Frame_ID,Data_Length,ByteA,ByteB,ByteC,ByteD,ByteE,ByteF,ByteG,ByteH,,
,,,,,,,,,,,,,,
0,Receive,18:47:45:847,Data frame,Standard frame,0000c8aa,8,51,02,1e,0a,00,00,00,00
1,Receive,18:47:45:851,Data frame,Standard frame,460,8,00,00,a6,00,cd,01,4d,01
2,Receive,18:47:45:854,Data frame,Standard frame,461,8,00,32,ff,3f,38,38,aa,00
3,Receive,18:47:45:856,Data frame,Standard frame,462,8,00,00,00,00,3a,00,00,00
4,Receive,18:47:45:859,Data frame,Standard frame,463,8,e8,03,e8,03,00,00,00,00
5,Receive,18:47:45:863,Data frame,Standard frame,464,8,53,ff,ff,ff,ff,73,19,19
6,Receive,18:47:45:866,Data frame,Standard frame,465,8,ff,ff,00,ff,ff,4e,4e,ff
7,Receive,18:47:45:868,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00
8,Receive,18:47:45:871,Data frame,Standard frame,467,8,00,00,00,00,00,00,00,00
9,Receive,18:47:45:873,Data frame,Standard frame,468,8,00,00,00,00,00,00,00,00
10,Receive,18:47:45:876,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
11,Receive,18:47:45:879,Data frame,Standard frame,421,8,00,01,00,00,00,00,00,00
12,Receive,18:47:45:881,Data frame,Standard frame,400,8,27,14,b4,ff,aa,64,64,04
13,Receive,18:47:45:884,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
14,Receive,18:47:45:890,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
15,Receive,18:47:45:894,Data frame,Standard frame,450,8,34,07,35,05,ff,0f,ff,0f
16,Receive,18:47:45:898,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
17,Receive,18:47:45:901,Data frame,Standard frame,410,8,00,ff,19,19,ff,ff,ff,ff
18,Receive,18:47:45:905,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
19,Receive,18:47:45:909,Data frame,Standard frame,202,8,d9,00,00,00,00,00,00,00
20,Receive,18:47:45:913,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
21,Receive,18:47:45:916,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
22,Receive,18:47:45:920,Data frame,Standard frame,450,8,35,07,34,05,ff,0f,ff,0f
